"읍면동","주....소","V3","V4"
"요촌동행정복지센터","전라북도 김제시 요촌중길 50",35.805019,126.8913774
"신풍동행정복지센터","전라북도 김제시 중앙10길 11",35.7960387,126.89765
"검산동행정복지센터","전라북도 김제시 검산택지길 34",35.8032061,126.9036937
"교월동행정복지센터","전라북도 김제시 벽지산로 215",35.7947478,126.8785906
"삼례읍행정복지센터","전라북도 완주군 삼례읍 삼봉로 48",35.912679,127.0780347
"봉동읍행정복지센터","전라북도 완주군 봉동읍 삼봉로 933",35.9413287,127.1655528
"용진읍행정복지센터","전라북도 완주군 용진읍 완주로 174",35.8803454,127.1561958
"상관면행정복지센터","전라북도 완주군 상관면 신리로 109",35.7716072,127.2069214
"이서면행정복지센터","전라북도 완주군 이서면 이서로 55",35.8206243,127.0226098
"소양면행정복지센터","전라북도 완주군 소양면 소양로 231",35.8560681,127.2334406
"구이면행정복지센터","전라북도 완주군 구이면 구이로 1482",35.7318401,127.1206694
"고산면행정복지센터","전라북도 완주군 고산면 고산로 69-13",35.9764343,127.2053618
"비봉면행정복지센터","전라북도 완주군 비봉면 비봉소농길 16",35.9957293,127.140083
"운주면행정복지센터","전라북도 완주군 운주면 장선로 124",36.0923455,127.2774631
"화산면행정복지센터","전라북도 완주군 화산면 화산로 830-14",36.0355685,127.2033932
"동상면행정복지센터","전라북도 완주군 동산면 동상로 1414",35.9368258,127.2967923
"경천면행정복지센터","전라북도 완주군 경천면 대둔산로 259",36.0225675,127.2525867
"진안읍사무소","전라북도 진안군 진안읍 대성길 3",35.7892156,127.4231187
"용담면사무소","전라북도 진안군 용담면 대송로 17",35.9665186,127.520295
"안천면사무소","전라북도 진안군 안천면 진무로 2998",35.8970315,127.5526754
"동향면사무소","전라북도 진안군 동향면 진성로 1609",35.8380993,127.5676998
"상전면사무소","전라북도 진안군 상전면 주평로 41",35.8227464,127.4868575
"백운면사무소","전라북도 진안군 백운면 임진로 1297",35.6891604,127.3959015
"성수면사무소","전라북도 진안군 성수면 관진로 783",35.70861,127.3235065
"마령면사무소","전라북도 진안군 마령면 솔안2길 8",35.734415,127.370654
"부귀면사무소","전라북도 진안군 부귀면 부귀로 305-7",35.8371387,127.3605022
"정천면사무소","전라북도 진안군 정천면 봉학로 66",35.8729719,127.4289149
"주천면사무소","전라북도 진안군 주천면 동상주천로 2213",35.9752107,127.42549
"무주읍행정복지센터","전라북도 무주군 무주읍 향학로 49",36.0087335,127.662087
"무풍면행정복지센터","전라북도 무주군 무풍면 무풍면 현내로 171",35.9698792,127.8445975
"설천면행정복지센터","전라북도 무주군 설천면 무설로 1607",36.0080993,127.7895301
"적상면행정복지센터","전라북도 무주군 적상면 적상산로 51",35.9456226,127.6595873
"안성면행정복지센터","전라북도 무주군 안성면 안성로 246-17",35.8634663,127.6530697
"부남면행정복지센터","전라북도 무주군 부남면 대소길 3",35.9738242,127.5590922
"장수읍행정복지센터","전라북도 장수군 장수읍 장천로 245",35.654323,127.5198368
"산서면종합복지회관","전라북도 장수군 산서면 비행로 39-7",35.5856882,127.3967743
"번암면종합복지회관","전라북도 장수군 번암면 장수로 480",35.531155,127.5440503
"장계면종합복지회관","전라북도 장수군 장계면 백화로 60",35.7309821,127.5890313
"천천면종합복지회관","전라북도 장수군 천천면 송탄4길 3",35.7376142,127.5348633
"계남면종합복지회관","전라북도 장수군 계남면 유천길 5",35.7044874,127.5786279
"계북면종합복지회관","전라북도 장수군 계북면 장무로 961",35.7855796,127.6125362
"임실읍사무소","전라북도 임실군 임실읍 봉황로 144",35.6134309,127.2793707
"청웅면사무소","전라북도 임실군 청웅면 청웅로 153",35.5696633,127.20129
"운암면사무소","전라북도 임실군 운암면 임운로 1884",35.6606256,127.1604074
"신평면사무소","전라북도 임실군 신평면 석등슬치로 369",35.6571304,127.2239728
"성수면사무소","전라북도 임실군 성수면 임진로 213",35.62998,127.3332856
"오수면사무소","전라북도 임실군 오수면 삼일로 27",35.5412995,127.3268501
"신덕면사무소","전라북도 임실군 신덕면 수지로 94",35.6840269,127.1781793
"삼계면사무소","전라북도 임실군 삼계면 충효로 1281",35.5076199,127.2743439
"관촌면행정복지센터","전라북도 임실군 관촌면 사선1길 13",35.6737057,127.2707761
"강진면사무소","전라북도 임실군 강진면 호국로 47",35.5303898,127.1635954
"덕치면사무소","전라북도 임실군 덕치면 인덕로 1401",35.5101085,127.1572554
"지사면사무소","전라북도 임실군 지사면 충효로 2437",35.5641229,127.3573077
