공원명,위도,경도
강당재,35.81082594,127.1338864
가락구역,35.8127361,127.1384905
가락구역,35.81186758,127.1382599
풍남,35.80069621,127.1145129
모악산도립공원,35.7583868,127.0913206
다가공원,35.814131,127.1377817
선너머공원,35.8098485,127.1265809
메너머1길공원,35.82167593,127.1213322
인정길공원,35.819395,127.1194681
중산10길공원,35.81861931,127.1219537
중산5길공원,35.81551245,127.1190226
중산3길공원,35.8158115,127.1221999
화산네거리공원,35.81349502,127.1212353
근영공원,35.81734089,127.1248339
한두평공원,35.8138669,127.1249097
중산공원,35.82481675,127.1215811
매너머공원,35.8224944,127.1189399
33호공원,35.8223532,127.1144597
111호공원,35.8202248,127.1172278
110호공원,35.8196463,127.1147908
112호공원,35.81814082,127.1168265
109호공원,35.8210657,127.1147651
화산공원,35.819811,127.1272054
태평문화공원,35.82405946,127.1376788
태평소공원,35.82405946,127.1376788
태평공원,35.82405946,127.1376788
도화봉공원,35.79682285,127.1336338
평화제1공원,35.7967199,127.1331757
평화제2공원,35.7952008,127.1337134
감나무골공원,35.7947307,127.138129
평화1공원,35.79205926,127.1375172
신성공원,35.79084629,127.1346697
새터공원,35.79201581,127.1296714
참새암공원,35.7918147,127.1351967
맏내공원,35.788911,127.1360995
평화3-1호공원,35.7861578,127.1318067
평화3-2호공원,35.7856694,127.1344426
평화3-3호공원,35.78341674,127.1323374
중앙공원,35.815519,127.1501926
간납대1,35.8174482,127.1520713
간납대2,35.81620926,127.1553713
신리공원,35.8048145,127.122346
성지산공원,35.802042,127.1235308
양지공원,35.80241572,127.1183502
가절길공원,35.81192009,127.1159247
장성공원,35.80919207,127.1171132
효자공원,35.81104873,127.1201511
효문공원,35.80235417,127.1152654
풍남공원,35.80069621,127.1145129
효림공원,35.81029906,127.1267309
안행공원,35.80452048,127.1356336
은빛공원,35.8030586,127.1338644
안행공원,35.80538046,127.1360226
효자제8호공원,35.81300369,127.1086926
한지공원,35.80737996,127.0956845
선율공원,35.8091356,127.100273
도화공원,35.8072501,127.0980844
효열공원,35.80675318,127.0990342
솔바람공원,35.8063416,127.0995211
달맞이공원,35.8070229,127.1015881
푸른연꽃공원,35.8037085,127.0990965
효자제6호공원,35.8126301,127.099199
효자제7호공원,35.8124352,127.1042459
사이언스공원,35.809352,127.095438
